iter	Passed	Remaining
0	1	153
1	3	149
2	4	145
3	5	143
4	7	139
5	8	136
6	10	133
7	11	129
8	12	125
9	13	122
10	14	119
11	15	117
12	17	114
13	18	112
14	19	109
15	20	107
16	21	105
17	22	102
18	23	102
19	25	103
20	27	103
21	29	103
22	30	102
23	31	100
24	33	99
25	34	97
26	35	95
27	36	93
28	37	91
29	38	90
30	40	89
31	41	87
32	42	86
33	43	84
34	44	83
35	46	81
36	47	80
37	48	78
38	49	77
39	50	76
40	51	74
41	53	73
42	54	72
43	55	70
44	57	70
45	58	69
46	60	67
47	61	66
48	62	65
49	63	63
50	65	62
51	66	61
52	67	60
53	68	58
54	70	57
55	71	56
56	72	54
57	73	53
58	75	52
59	76	50
60	77	49
61	78	48
62	79	46
63	80	45
64	82	44
65	83	43
66	84	41
67	85	40
68	86	38
69	87	37
70	88	36
71	90	35
72	91	33
73	92	32
74	93	31
75	94	29
76	95	28
77	97	27
78	97	26
79	99	24
80	100	23
81	101	22
82	102	21
83	103	19
84	104	18
85	106	17
86	107	16
87	108	14
88	109	13
89	110	12
90	112	11
91	114	9
92	115	8
93	116	7
94	117	6
95	119	4
96	120	3
97	121	2
98	122	1
99	124	0
